sample_id,video_id,clip_id,annotation,regression_label,classification_label,text_length,text_dim,text_nonzero_ratio,audio_length,audio_dim,audio_nonzero_ratio,vision_length,vision_dim,vision_nonzero_ratio,raw_text_preview,extract_status
-RfYyzHpjk4$_$8,-RfYyzHpjk4,8,Positive,0.3333333432674408,2,50,768,1.0,50,74,1.0,50,35,0.9965714285714286,"It's pretty, pretty easy to do but you got to set up those numbers ahead of time...",success
-RfYyzHpjk4$_$2,-RfYyzHpjk4,2,Positive,0.3333333432674408,2,50,768,1.0,50,74,1.0,50,35,1.0,"You can make a conference call but it takes quite a bit of planning, well not a ...",success
-UUCSKoHeMA$_$0,-UUCSKoHeMA,0,Neutral,0.0,1,50,768,1.0,50,74,0.9902702702702703,50,35,0.9702857142857143,"I mentioned a word in the last clip called 'monotone', and I want to talk about ...",success
-ri04Z7vwnc$_$0,-ri04Z7vwnc,0,Neutral,0.0,1,50,768,1.0,50,74,1.0,50,35,0.9908571428571429,going to get married or are already married,success
-ri04Z7vwnc$_$2,-ri04Z7vwnc,2,Negative,-0.3333333432674408,0,50,768,1.0,50,74,1.0,50,35,1.0,"most people think it'll sort itself out, ""we'll discuss it later,"" it's not some...",success
-ri04Z7vwnc$_$5,-ri04Z7vwnc,5,Positive,0.3333333432674408,2,50,768,1.0,50,74,1.0,50,35,1.0,""" So I think it's important to discuss finances",success
-s9qJ7ATP7w$_$1,-s9qJ7ATP7w,1,Positive,0.6666666865348816,2,50,768,1.0,50,74,1.0,50,35,1.0,"But the hardest thing in life to learn, is to lose",success
-s9qJ7ATP7w$_$0,-s9qJ7ATP7w,0,Negative,-0.3333333432674408,0,50,768,1.0,50,74,0.9948648648648649,50,35,0.9982857142857143,"they have doubt, they have fear, they lose in a Ferrari race, or they lose in a ...",success
-s9qJ7ATP7w$_$5,-s9qJ7ATP7w,5,Negative,-2.0,0,50,768,1.0,50,74,1.0,50,35,1.0,"I have been beat up and put down and everything that can go wrong, has gone wron...",success
-s9qJ7ATP7w$_$4,-s9qJ7ATP7w,4,Neutral,0.0,1,50,768,1.0,50,74,1.0,50,35,1.0,"I have lost at everything you can imagine, seriously",success
-s9qJ7ATP7w$_$7,-s9qJ7ATP7w,7,Positive,1.0,2,50,768,1.0,50,74,1.0,50,35,1.0,"I used to work for Warren Avis, the guy who started Avis Rent a Car, and he said...",success
-s9qJ7ATP7w$_$6,-s9qJ7ATP7w,6,Neutral,0.0,1,50,768,1.0,50,74,1.0,50,35,0.9982857142857143,But I just kept going,success
-s9qJ7ATP7w$_$8,-s9qJ7ATP7w,8,Positive,1.3333333730697632,2,50,768,1.0,50,74,1.0,50,35,0.9965714285714286,""" And I said, ""Oh, make a profit, and all these other things",success
-yRb-Jum7EQ$_$1,-yRb-Jum7EQ,1,Neutral,0.0,1,50,768,1.0,50,74,1.0,50,35,0.9851428571428571,"it comes with the assistance and agitation of states and regimes, Yesterday Iran...",success
-yRb-Jum7EQ$_$5,-yRb-Jum7EQ,5,Negative,-0.6666666865348816,0,50,768,1.0,50,74,1.0,50,35,0.984,"Yesterday Eliav Gelman lost his life in another terrorist attack, not by the stu...",success
-yRb-Jum7EQ$_$6,-yRb-Jum7EQ,6,Neutral,0.0,1,50,768,1.0,50,74,1.0,50,35,0.9862857142857143,"Therefore, the world needs to stand with Israel against this incitement, which i...",success
